Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
imdb/submit/firefox-desktop/baseline/1/ae04d803-49ee-4300-92ee-4d099fd934d6-1,50,652,586,824,839,1933,488,1933,100.000%,.50713,0.40,1.79
imdb/-2,50,181,143,370,376,1185,40,1185,38.000%,.50940,0.34,0.31
imdb/submit/firefox-desktop/usage-reporting/1/d89a8746-33b3-4f5a-9780-ec32390cc4b3-3,50,379,373,437,442,472,310,472,100.000%,.50844,0.41,0.62
imdb/-4,50,824,837,943,963,1329,336,1329,100.000%,.50529,0.54,0.49
imdb/?operationName=TitleShowRatingPrompt&variables=%7B%22constId%22%3A%22tt36594331%22%2C%22locale%22%3A%22en-US%22%2C%22promptType%22%3A%22RATINGS_TITLE_MAIN%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%221ee91f16bf508592ccf7c10e7a242c7ad4ececc02cfab5abb5520e017a3466df%22%2C%22version%22%3A1%7D%7D-6,50,52,32,95,129,206,13,206,6.000%,.50937,0.34,0.46
imdb/?operationName=RVI_Items&variables=%7B%22count%22%3A15%2C%22locale%22%3A%22en-US%22%7D&extensions=%7B%22persistedQuery%22%3A%7B%22sha256Hash%22%3A%2232eda43bfa1053f69036b945638fc4a0ae6cc4a2429de224b3185f8b0e37717b%22%2C%22version%22%3A1%7D%7D-5,50,72,32,108,142,838,13,838,4.000%,.50908,0.34,0.43
imdb/-7,50,797,843,919,931,1345,326,1345,100.000%,.50458,0.52,0.54
imdb/-8,50,778,847,942,946,1555,322,1555,100.000%,.50425,0.77,0.50
imdb/1/events/com.amazon.csm.csa.prod-9,50,952,850,1123,1381,3164,730,3164,100.000%,.49248,0.28,1.47
imdb/-10,50,453,392,571,880,1128,309,1128,100.000%,.49387,1.35,0.22
imdb/1/events/com.amazon.csm.csa.prod-11,50,337,282,374,413,1324,244,1324,100.000%,.49379,0.29,1.22
imdb/1/batch/1/OE/-12,50,1439,1204,2051,2488,5379,1059,5379,100.000%,.47008,0.14,0.38
imdb/1/events/com.amazon.csm.csa.prod-13,50,364,285,391,461,2567,242,2567,100.000%,.46401,0.27,1.85
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/challenge.js-14,50,1317,934,2048,2271,10666,462,10666,100.000%,.42318,211.58,0.20
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/inputs-15,50,316,293,404,441,510,261,510,100.000%,.42359,0.46,0.20
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/inputs-16,50,336,294,406,456,1106,258,1106,100.000%,.42325,0.46,0.20
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/mp_verify-17,50,427,320,423,475,3667,285,3667,100.000%,.42250,0.56,4.67
imdb/fb423e1ef94f/c3382d439950/916d943f6a58/report-19,50,358,296,377,386,2543,257,2543,100.000%,.42235,0.26,0.27
imdb/-18,50,387,302,401,434,2555,268,2555,100.000%,.42209,1.15,0.19
imdb/images/S/sash/MQvAPZtWnLQYt5p.js-20,50,685,174,618,741,14699,73,14699,48.000%,.42245,30.49,0.20
imdb/images/I/11QhRZqmoxL.js-22,50,67,31,117,139,870,13,870,2.000%,.42274,0.78,0.19
imdb/images/S/sash/6WQdCE8Mjrz1328.css-26,50,55,35,114,123,366,13,366,2.000%,.42259,0.95,0.20
imdb/images/S/sash/djV9FnI7RYrbIyR.js-24,50,61,40,126,136,277,16,277,4.000%,.42225,5.98,0.20
imdb/_next/static/css/5473e0cf0f2d751f.css-28,50,147,98,351,392,429,42,429,28.000%,.42185,1.44,0.21
imdb/_next/static/css/ea954c775e56c8f4.css-21,50,40,27,89,101,139,11,139,0.000%,.42216,0.61,0.21
imdb/_next/static/css/f638b3a60a6b7572.css-27,50,63,37,95,130,679,14,679,2.000%,.42204,3.42,0.21
imdb/_next/static/chunks/webpack-9651c968220ebb3a.js-23,50,51,30,109,130,253,12,253,2.000%,.42202,1.15,0.20
imdb/_next/static/chunks/framework-a909d885f472f220.js-29,50,124,100,233,255,299,36,299,26.000%,.42156,27.60,0.20
imdb/_next/static/css/fcedf061f2fc9302.css-25,50,98,66,150,195,1009,25,1009,8.000%,.42134,17.44,0.21
imdb/_next/static/chunks/main-6c24c9b673722d49.js-30,50,98,69,154,304,788,22,788,8.000%,.42116,17.31,0.20
imdb/_next/static/chunks/c30a072d-ac83d3290b9b3eaf.js-31,50,104,63,164,259,807,22,807,10.000%,.42104,12.63,0.20
imdb/images/G/01/IMDb/cm9ib3RvQm9sZA._TTW_.woff2-34,50,74,43,177,182,404,16,404,8.000%,.42121,4.97,0.22
"imdb/images/M/MV5BOTNkOTkxODMtZTU1NC00MmFlLWJhNmQtMTQ0OTc4NWQ1ZDYyXkEyXkFqcGdeQWpnYW1i._V1_QL40_QL75_UX1000_CR0,0,1000,563_.jpg-32",50,149,88,378,440,648,27,648,24.000%,.42097,27.12,0.26
imdb/images/G/01/IMDb/cm9ib3Rv._TTW_.woff2-36,50,48,34,102,110,161,15,161,0.000%,.42100,4.96,0.22
imdb/images/G/01/IMDb/cm9ib3RvTWVk._TTW_.woff2-35,50,85,37,115,184,1077,17,1077,8.000%,.42080,4.96,0.22
imdb/_next/static/chunks/9291-c23eaddc9645c064.js-39,50,63,41,108,155,416,17,416,2.000%,.42083,9.44,0.20
imdb/_next/static/chunks/8198-8150702a7fc55b3d.js-37,50,59,44,99,128,302,16,302,4.000%,.42071,8.34,0.20
"imdb/images/M/MV5BZTNkYmE5ZGQtMTUzNi00ZDE3LWE5YWQtODk4N2Q3Yzc0YzViXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg-38",50,84,45,124,157,873,17,873,6.000%,.42064,8.84,0.26
imdb/_next/static/chunks/634-3cd996daff887933.js-41,50,57,36,115,131,335,11,335,4.000%,.42063,2.09,0.20
imdb/_next/static/chunks/1177-191d36d48b2d0a25.js-42,50,46,33,92,98,263,11,263,2.000%,.42052,2.27,0.20
imdb/_next/static/chunks/5368-51c24bec7694a0d4.js-40,50,392,91,322,390,12226,32,12226,24.000%,.42012,37.61,0.20
imdb/_next/static/chunks/5522-31a2f4ccbc79131f.js-43,50,154,28,86,125,5417,12,5417,4.000%,.42016,2.05,0.20
imdb/_next/static/chunks/pages/_app-ac771679f46a3d24.js-33,50,798,579,1616,1718,2930,224,2930,100.000%,.41640,301.81,0.20
imdb/_next/static/chunks/380-123b96685047e6cc.js-45,50,44,31,88,110,241,13,241,2.000%,.41755,1.77,0.20
imdb/_next/static/chunks/6580-cc9e561398a44ec5.js-46,50,62,33,101,126,537,14,537,6.000%,.41742,3.26,0.20
imdb/_next/static/chunks/3065-df8b4f0ec71ac8fa.js-44,50,539,244,426,443,14905,65,14905,60.000%,.41647,91.07,0.20
imdb/_next/static/chunks/9031-de0d2babbcc9fa50.js-47,50,87,43,122,218,1206,14,1206,8.000%,.41674,2.58,0.20
imdb/_next/static/chunks/370-b45f3274a909d31e.js-48,50,56,31,97,133,365,14,365,4.000%,.41673,2.66,0.20
imdb/_next/static/chunks/337-ab7959cd4cca7d8b.js-49,50,52,43,83,104,253,14,253,2.000%,.41651,4.20,0.20
imdb/_next/static/YcjKu_5oroEfVGzpegs7N/_buildManifest.js-51,50,65,40,109,136,767,16,767,2.000%,.41640,4.70,0.20
imdb/_next/static/chunks/pages/index-fc186f7be9c3bfaf.js-50,50,142,50,162,173,3307,20,3307,6.000%,.41612,11.85,0.20
imdb/_next/static/YcjKu_5oroEfVGzpegs7N/_ssgManifest.js-52,50,77,31,89,121,1657,11,1657,4.000%,.41603,0.34,0.20
"imdb/images/M/MV5BN2ZjZWI0YTctOGJmNC00MWJlLTk4MTAtM2RlZjgxYmY4ZmE5XkEyXkFqcGc@._V1_QL75_UX280_CR0,12,280,414_.jpg-53",50,118,42,151,286,2370,16,2370,8.000%,.41589,7.39,0.25
