Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
"ReactDev/_next/image-2,414",150,143,80,319,437,749,50,1761,0.000%,.62039,2.72,0.29
"ReactDev/images/home/conf2019/cover.svg-2,415",150,168,108,355,474,747,49,2157,2.000%,.62037,3.27,0.28
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/tutorial-tic-tac-toe.json-2,416",150,416,175,679,922,6180,57,7836,0.667%,.62034,13.25,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/thinking-in-react.json-2,417",150,191,100,379,594,1361,52,1899,2.000%,.62041,5.00,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/installation.json-2,418",150,156,90,327,403,1092,49,2551,0.667%,.62041,1.34,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/react-compiler.json-2,420",150,153,77,265,452,1711,49,3090,0.667%,.62041,1.07,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/setup.json-2,419",150,156,83,340,466,812,49,2597,0.000%,.62006,0.85,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/describing-the-ui.json-2,421",150,188,101,426,636,1130,50,1195,0.000%,.62006,4.05,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/managing-state.json-2,422",150,238,116,365,470,3775,51,5393,0.667%,.62004,4.90,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/adding-interactivity.json-2,423",150,193,117,370,629,1006,50,2426,0.000%,.62005,5.39,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/escape-hatches.json-2,424",150,217,111,408,608,1863,49,5229,1.333%,.62009,4.75,0.31
"ReactDev/canonical.html-2,425",150,275,206,501,645,829,150,1028,32.667%,.61987,0.18,0.18
"ReactDev/success.txt-2,426",150,145,97,253,421,689,75,968,0.000%,.62046,0.13,0.19
"ReactDev/success.txt-2,427",150,156,95,248,481,1053,75,1358,0.667%,.62048,0.13,0.19
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react.json-2,428",150,137,84,278,392,698,50,1073,1.333%,.62055,1.40,0.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react.json?markdownPath=reference&markdownPath=react-2,429",150,123,75,175,349,854,48,1934,2.000%,.62060,0.36,0.29
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/components.json-2,430",150,172,82,245,351,848,50,6891,0.667%,.62064,0.81,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/hooks.json-2,431",150,159,86,339,416,1186,49,1905,0.000%,.62066,2.10,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/hooks.json-2,432",150,124,83,215,365,848,49,881,0.667%,.62040,0.95,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/apis.json-2,433",150,128,89,227,339,742,49,1062,0.000%,.62039,1.08,0.32
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/components.json-2,434",150,159,105,369,413,762,49,1063,1.333%,.62033,3.29,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom.json-2,435",150,130,87,298,364,488,49,928,1.333%,.62028,1.28,0.31
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/static.json-2,438",150,122,81,198,323,642,49,1390,2.667%,.62029,0.99,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/client.json-2,436",150,127,78,235,400,715,50,1249,0.667%,.62046,0.84,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/server.json-2,437",150,161,77,348,580,1494,49,1606,0.667%,.62040,1.09,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/rsc/directives.json-2,439",150,124,79,251,387,520,48,985,1.333%,.62026,0.69,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-compiler/configuration.json-2,440",150,147,76,208,377,1489,50,2745,0.000%,.62034,1.46,0.34
"ReactDev/g/collect?v=2&tid=G-B1E83PJ3RT&gtm=45je6461h1v9119811439za200zd9119811439&_p=1775663617227&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&cid=144136750.1775661569&frm=0&pscdl=noapi&sr=1536x864&ul=en-us&tag_exp=0~115938465~115938469~116991816~117266401~117512543~118463801&sid=1775661568&sct=1&seg=1&dl=https%3A%2F%2Freact.dev%2F&dt=Quick%20Start%20%E2%80%93%20React&_s=1&tfd=6073-2,441",150,119,84,254,332,508,55,703,2.667%,.62038,0.50,0.67
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/components.json-2,442",150,165,85,363,474,1514,49,1569,1.333%,.62044,0.81,0.33
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/apis.json-2,443",150,130,80,277,371,626,48,655,1.333%,.62040,1.08,0.32
