Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
"ReactDev/complete/search-2,370",100,909,715,1794,2217,3168,298,3170,53.000%,1.00578,9.72,0.29
"ReactDev/-2,371",100,2464,1242,6377,8634,22467,267,29499,65.000%,1.00817,43.35,0.44
"ReactDev/images/home/conf2021/andrew.jpg-2,374",100,212,113,414,539,1303,56,2689,5.000%,1.04105,2.62,0.47
"ReactDev/images/uwu.png-2,373",100,2436,1156,5311,8818,20884,72,25482,63.000%,1.03964,56.45,0.45
"ReactDev/images/home/conf2021/juan.jpg-2,376",100,221,99,414,806,1906,55,2944,7.000%,1.04609,1.59,0.47
"ReactDev/images/home/conf2021/rick.jpg-2,377",100,209,93,301,555,1321,55,5810,3.000%,1.04615,1.83,0.47
"ReactDev/images/home/conf2021/lauren.jpg-2,375",100,357,174,873,1111,1755,58,2451,15.000%,1.04587,6.24,0.47
"ReactDev/images/home/conf2021/cover.svg-2,372",100,174,100,407,545,783,59,1391,3.000%,1.04840,1.13,0.47
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/index.json-2,378",100,158,104,244,499,815,54,1464,2.000%,1.04854,0.73,0.45
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/versions.json-2,379",100,359,171,888,1509,1826,57,2182,15.000%,1.04879,5.83,0.48
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/community.json-2,383",100,230,132,465,704,1028,62,1932,6.000%,1.05303,1.94,0.48
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react.json-2,381",100,250,120,483,637,1601,55,2316,5.000%,1.05244,2.38,0.50
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/blog.json-2,382",100,294,144,714,1003,1408,59,1942,11.000%,1.05254,4.79,0.47
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/community/translations.json-2,384",100,261,120,667,923,1599,60,1872,10.000%,1.05258,2.47,0.52
"ReactDev/images/home/videos/documentary.webp-2,386",100,490,230,1071,1390,2553,63,8643,21.000%,1.05780,11.32,0.48
"ReactDev/images/home/videos/rn.jpg-2,388",100,586,250,1074,1573,5504,56,10609,22.000%,1.05794,14.82,0.47
"ReactDev/images/home/videos/hooks.jpg-2,389",100,278,133,620,871,1592,53,1969,9.000%,1.05968,6.02,0.47
"ReactDev/images/home/videos/rethinking.jpg-2,387",100,397,210,942,1407,2120,60,2156,13.000%,1.05965,9.29,0.48
"ReactDev/g/collect?v=2&tid=G-B1E83PJ3RT&gtm=45je6461h1v9119811439za200zd9119811439&_p=1775663495692&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&cid=144136750.1775661569&frm=0&pscdl=noapi&sr=1536x864&ul=en-us&_s=5&tag_exp=0~115616986~115938466~115938469~116363097~116991816~117512543&sid=1775661568&sct=1&seg=1&dl=https%3A%2F%2Freact.dev%2Fcommunity%2Fconferences&dt=React%20Conferences%20%E2%80%93%20React&en=timing&_ee=1&ep.event_label=JS%20Dependencies&ep.event=unload&_et=2442&tfd=121906-2,385",100,590,373,1000,1550,2188,188,4628,25.000%,1.05779,0.85,1.04
"ReactDev/images/home/videos/rsc.jpg-2,390",100,311,182,639,951,1411,53,1687,10.000%,1.06455,6.79,0.48
"ReactDev/images/home/conf2021/shaundai.jpg-2,391",100,203,107,522,620,1110,56,1247,5.000%,1.06555,2.91,0.48
"ReactDev/images/home/conf2021/shruti.jpg-2,392",100,164,98,448,578,912,58,1080,2.000%,1.06542,1.89,0.48
"ReactDev/images/home/conf2021/aakansha.jpg-2,393",100,152,100,257,401,918,54,1134,2.000%,1.06479,1.97,0.48
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react.json-2,395",100,217,144,442,662,851,53,1613,4.000%,1.06497,2.41,0.51
"ReactDev/images/home/conf2021/brian.jpg-2,394",100,173,104,332,425,1415,53,2298,3.000%,1.06529,2.01,0.48
"ReactDev/images/home/conf2021/xuan.jpg-2,396",100,168,102,345,497,1071,53,1111,4.000%,1.06587,1.38,0.48
"ReactDev/images/home/conf2021/rachel.jpg-2,398",100,199,106,477,569,1226,54,1571,3.000%,1.06614,2.92,0.48
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn.json-2,397",100,307,153,650,797,1878,53,1890,7.000%,1.06569,7.39,0.48
"ReactDev/images/home/conf2021/debbie.jpg-2,399",100,136,93,196,461,646,50,944,1.000%,1.06415,1.41,0.48
"ReactDev/images/home/conf2021/linton.jpg-2,401",100,165,96,273,469,1095,53,1654,4.000%,1.06402,1.78,0.48
"ReactDev/images/home/conf2021/sarah.jpg-2,400",100,170,92,341,576,1451,51,1684,4.000%,1.06410,1.89,0.48
"ReactDev/images/home/conf2021/robert.jpg-2,403",100,155,104,382,450,698,50,752,1.000%,1.06427,1.79,0.48
"ReactDev/images/home/conf2021/delba.jpg-2,402",100,212,96,333,523,2754,51,3997,3.000%,1.06701,1.82,0.48
"ReactDev/images/home/conf2021/eric.jpg-2,404",100,180,106,422,606,1179,54,1188,5.000%,1.06928,1.91,0.48
"ReactDev/images/home/conf2021/steven.jpg-2,405",100,196,125,461,531,826,55,1055,3.000%,1.06819,4.61,0.48
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn.json-2,380",100,306,151,600,1308,1851,59,2316,8.000%,1.06886,7.42,0.48
"ReactDev/images/home/conf2021/roman.jpg-2,406",100,167,98,311,525,724,55,1556,3.000%,1.07005,1.59,0.48
"ReactDev/images/home/conf2021/daishi.jpg-2,407",100,129,85,199,391,729,51,754,2.000%,1.07018,1.77,0.48
"ReactDev/images/home/conf2021/diego.jpg-2,408",100,194,101,421,640,874,49,2442,5.000%,1.07033,1.99,0.48
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn.json?markdownPath=learn-2,409",100,146,98,287,528,655,51,1004,1.000%,1.07035,0.61,0.46
"ReactDev/images/home/conf2021/tafu.jpg-2,410",100,170,95,406,608,1016,53,1077,3.000%,1.06939,1.86,0.48
"ReactDev/images/home/conf2021/lyle.jpg-2,411",100,224,103,443,912,1542,52,1581,7.000%,1.06991,2.08,0.48
"ReactDev/images/home/conf2021/helen.jpg-2,412",100,224,101,490,568,729,49,5883,2.000%,1.07006,1.76,0.48
"ReactDev/_next/image-2,413",100,719,369,1757,2419,3800,61,7157,31.000%,1.06992,23.30,0.50
"ReactDev/_next/image-2,414",100,258,123,441,608,2027,52,3459,4.000%,1.07832,4.73,0.50
"ReactDev/images/home/conf2019/cover.svg-2,415",100,280,127,557,1065,2583,56,3115,9.000%,1.08211,5.71,0.48
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/tutorial-tic-tac-toe.json-2,416",100,664,327,1351,1984,4556,62,5445,27.000%,1.08189,23.10,0.55
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/thinking-in-react.json-2,417",100,273,152,543,951,1838,57,1935,7.000%,1.08981,8.78,0.54
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/installation.json-2,418",100,214,104,406,568,2019,51,3637,4.000%,1.09907,2.37,0.54
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/react-compiler.json-2,420",100,199,103,387,622,1215,53,2496,5.000%,1.10344,1.90,0.55
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/setup.json-2,419",100,152,107,329,352,582,49,956,1.000%,1.10713,1.52,0.53
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/describing-the-ui.json-2,421",100,259,151,522,640,1671,54,2353,5.000%,1.10771,7.24,0.55
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/managing-state.json-2,422",100,379,158,714,1003,2294,53,8026,13.000%,1.11308,8.80,0.55
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/adding-interactivity.json-2,423",100,352,188,639,1502,2090,53,3558,9.000%,1.11992,9.73,0.57
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/escape-hatches.json-2,424",100,329,159,653,1132,2113,54,2501,8.000%,1.13852,8.73,0.56
"ReactDev/canonical.html-2,425",100,416,270,625,788,1929,156,5591,8.000%,1.16264,0.34,0.34
"ReactDev/success.txt-2,426",100,165,124,272,394,1006,76,1128,2.000%,1.16757,0.25,0.36
"ReactDev/success.txt-2,427",100,162,123,243,416,661,76,986,1.000%,1.16831,0.25,0.37
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react.json-2,428",100,231,112,421,827,1682,57,2393,7.000%,1.17200,2.65,0.57
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react.json?markdownPath=reference&markdownPath=react-2,429",100,149,108,260,331,761,52,914,2.000%,1.18055,0.68,0.55
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/components.json-2,430",100,194,100,411,595,1481,52,1885,5.000%,1.18380,1.55,0.63
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/hooks.json-2,431",100,196,130,454,525,798,50,876,2.000%,1.18422,4.01,0.61
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/hooks.json-2,432",100,174,109,421,602,978,49,1029,3.000%,1.18475,1.81,0.62
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/apis.json-2,433",100,177,110,382,550,642,53,949,1.000%,1.19029,2.07,0.61
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/components.json-2,434",100,307,159,587,1197,1847,56,2416,9.000%,1.19050,6.31,0.64
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom.json-2,435",100,192,105,438,622,1107,54,1303,4.000%,1.19551,2.46,0.60
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/static.json-2,438",100,193,102,457,607,1036,51,2213,5.000%,1.19613,1.90,0.63
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/client.json-2,436",100,173,111,302,344,1636,53,1749,2.000%,1.19596,1.62,0.63
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-dom/server.json-2,437",100,178,105,348,430,987,56,1072,2.000%,1.19541,2.10,0.63
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/rsc/directives.json-2,439",100,157,97,321,537,733,56,1035,2.000%,1.19517,1.34,0.63
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react-compiler/configuration.json-2,440",100,201,109,350,483,1612,54,1995,3.000%,1.19772,2.83,0.66
"ReactDev/g/collect?v=2&tid=G-B1E83PJ3RT&gtm=45je6461h1v9119811439za200zd9119811439&_p=1775663617227&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&cid=144136750.1775661569&frm=0&pscdl=noapi&sr=1536x864&ul=en-us&tag_exp=0~115938465~115938469~116991816~117266401~117512543~118463801&sid=1775661568&sct=1&seg=1&dl=https%3A%2F%2Freact.dev%2F&dt=Quick%20Start%20%E2%80%93%20React&_s=1&tfd=6073-2,441",100,157,104,360,527,672,58,697,0.000%,1.20494,0.97,1.30
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/components.json-2,442",100,177,110,360,641,911,50,1193,5.000%,1.20571,1.58,0.64
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/apis.json-2,443",100,176,102,384,518,1062,48,1491,4.000%,1.20729,2.10,0.62
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/apis.json?markdownPath=reference&markdownPath=react&markdownPath=apis-2,444",100,120,88,190,275,619,49,922,1.000%,1.20846,0.70,0.60
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/act.json-2,445",100,173,112,347,478,686,53,1057,1.000%,1.20674,4.14,0.63
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/memo.json-2,449",100,358,151,953,1740,2079,53,2189,12.000%,1.20824,9.54,0.63
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/createContext.json-2,446",100,226,124,533,648,1247,53,1889,5.000%,1.20907,4.48,0.65
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useContext.json-2,447",100,315,203,728,1096,1494,57,3182,11.000%,1.21675,11.91,0.65
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/lazy.json-2,448",100,183,110,372,543,996,54,1288,3.000%,1.22014,4.44,0.64
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useMemo.json-2,450",100,526,194,785,1714,5078,62,9022,11.000%,1.22988,17.62,0.65
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useCallback.json-2,451",100,506,172,828,1091,4504,57,17808,11.000%,1.23292,13.54,0.66
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/use.json-2,452",100,286,130,597,1013,1990,56,3418,9.000%,1.23439,7.37,0.64
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/startTransition.json-2,454",100,207,114,414,632,1342,49,1768,3.000%,1.23527,3.31,0.67
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/useTransition.json-2,453",100,480,203,1001,1714,3764,58,4385,19.000%,1.23634,16.38,0.67
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/learn/passing-data-deeply-with-context.json-2,455",100,288,159,597,823,2213,55,2318,7.000%,1.23506,12.12,0.67
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/addTransitionType.json-2,456",100,166,105,338,440,942,57,1862,2.000%,1.23571,3.51,0.68
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/cache.json-2,457",100,219,145,453,528,1140,55,2600,4.000%,1.23614,9.33,0.65
"ReactDev/_next/data/1-ZF-6XQG0jdGRecpF7eG/reference/react/cacheSignal.json-2,458",100,145,101,290,367,650,51,674,0.000%,1.24780,2.99,0.67
